Home Team,Away Team,Match Date,Competition,Goals Scored,Goals Conceded
Real Madrid,Atalanta,2024-08-14,UEFA Super Cup,2,0
Mallorca,Real Madrid,2024-08-18,LaLiga,1,1
Real Madrid,Real Valladolid,2024-08-25,LaLiga,3,0
Las Palmas,Real Madrid,2024-08-29,LaLiga,1,1
Real Madrid,Real Betis,2024-09-01,LaLiga,2,0
Real Sociedad,Real Madrid,2024-09-14,LaLiga,2,0
Real Madrid,VfB Stuttgart,2024-09-17,UEFA Champions League,3,1
Real Madrid,Espanyol,2024-09-21,LaLiga,4,1
Real Madrid,Deportivo Alavés,2024-09-24,LaLiga,3,2
Atlético Madrid,Real Madrid,2024-09-29,LaLiga,1,1
Lille,Real Madrid,2024-10-02,UEFA Champions League,0,1
Real Madrid,Villarreal,2024-10-05,LaLiga,2,0
Celta Vigo,Real Madrid,2024-10-19,LaLiga,2,1
Real Madrid,Borussia Dortmund,2024-10-22,UEFA Champions League,5,2
Real Madrid,Barcelona,2024-10-26,LaLiga,0,4
Real Madrid,Milan,2024-11-05,UEFA Champions League,1,3
Real Madrid,Osasuna,2024-11-09,LaLiga,4,0
Leganés,Real Madrid,2024-11-24,LaLiga,3,0
Liverpool,Real Madrid,2024-11-27,UEFA Champions League,0,2
Real Madrid,Getafe,2024-12-01,LaLiga,2,0
Athletic Club,Real Madrid,2024-12-04,LaLiga,1,2
Girona FC,Real Madrid,2024-12-07,LaLiga,3,0
Atalanta,Real Madrid,2024-12-10,UEFA Champions League,3,2
Rayo Vallecano,Real Madrid,2024-12-14,LaLiga,3,3
Real Madrid,CF Pachuca,2024-12-18,FIFA Intercontinental Cup,3,0
Real Madrid,Sevilla,2024-12-22,LaLiga,4,2
Valencia,Real Madrid,2025-01-03,LaLiga,2,1
Deportiva Minera,Real Madrid,2025-01-06,Copa del Rey,5,0
Real Madrid,Mallorca,2025-01-09,Supercopa de España,3,0
Real Madrid,Barcelona,2025-01-12,Supercopa de España,2,5
Real Madrid,Celta Vigo,2025-01-16,Copa del Rey,5,2
Real Madrid,Las Palmas,2025-01-19,LaLiga,4,1
Real Madrid,Red Bull Salzburg,2025-01-22,UEFA Champions League,5,1
Real Valladolid,Real Madrid,2025-01-25,LaLiga,3,0
Stade Brestois,Real Madrid,2025-01-29,UEFA Champions League,3,0
Espanyol,Real Madrid,2025-02-01,LaLiga,0,1
Leganés,Real Madrid,2025-02-05,Copa del Rey,3,2
Real Madrid,Atlético Madrid,2025-02-08,LaLiga,1,1
Manchester City,Real Madrid,2025-02-11,"UEFA Champions League, Knockout Phase",3,2
Osasuna,Real Madrid,2025-02-15,LaLiga,1,1
Real Madrid,Manchester City,2025-02-19,"UEFA Champions League, Knockout Phase",3,1
Real Madrid,Girona FC,2025-02-23,LaLiga,2,0
Real Sociedad,Real Madrid,2025-02-26,Copa del Rey,1,0
Real Betis,Real Madrid,2025-03-01,LaLiga,1,2
Real Madrid,Atlético Madrid,2025-03-04,"UEFA Champions League, Knockout Phase",2,1
Real Madrid,Rayo Vallecano,2025-03-09,LaLiga,2,1
Atlético Madrid,Real Madrid,2025-03-12,"UEFA Champions League, Knockout Phase",0,1
Villarreal,Real Madrid,2025-03-15,LaLiga,2,1